problem_number,FORM,Mathematica,reFORM,Rings,Singular
11,0.008,0.011911,0.030262,0.004456567,0.1
12,0.008,0.012423,0.024502,0.004212736,0.1
13,0.006,0.010524,0.018841,0.004203603,0.1
14,0.007,0.009363,0.017193,0.003804668,0.16
15,0.008,0.010925,0.016332,0.003726036,0.09
16,0.008,0.011658,0.016108,0.00377935,0.1
17,0.005,0.009577,0.015911,0.003238892,0.08
18,0.007,0.010762,0.014718,0.003577805,0.09
19,0.006,0.012338,0.019235,0.00353118,0.15
20,0.01,0.011203,0.015063,0.003661826,0.08
21,0.005,0.015328,0.019698,0.003847982,0.1
22,0.007,0.012549,0.019131,0.00399778,0.09
23,0.008,0.013183,0.02273,0.003907612,0.13
24,0.01,0.01324,0.020479,0.003407371,0.1
25,0.009,0.013298,0.018935,0.003371926,0.1
26,0.008,0.012302,0.021818,0.003307269,0.1
27,0.008,0.010365,0.017743,0.002721031,0.12
28,0.011,0.013284,0.019484,0.003396657,0.1
29,0.006,0.012614,0.019488,0.003042539,0.09
30,0.005,0.010803,0.016467,0.002897536,0.08
31,0.009,0.012054,0.021945,0.003230041,0.1
32,0.007,0.010767,0.01508,0.00272938,0.08
33,0.006,0.011438,0.019071,0.00280121,0.09
34,0.006,0.010069,0.019191,0.003131556,0.09
35,0.006,0.01172,0.018381,0.00190051,0.11
36,0.005,0.009842,0.019601,0.00210782,0.1
37,0.004,0.011981,0.01753,0.00175356,0.08
38,0.006,0.013752,0.018252,0.002202252,0.12
39,0.007,0.012038,0.02323,0.001953437,0.11
40,0.006,0.020215,0.01734,0.002191036,0.09
41,0.01,0.010779,0.020749,0.00210822,0.09
42,0.008,0.014872,0.023799,0.002656507,0.11
43,0.007,0.011234,0.017191,0.001860467,0.09
44,0.009,0.012672,0.017933,0.002204335,0.09
45,0.008,0.013072,0.022043,0.002222176,0.11
46,0.008,0.01085,0.023854,0.001975783,0.1
47,0.012,0.011593,0.023753,0.002299721,0.11
48,0.01,0.009616,0.015946,0.001563026,0.07
49,0.009,0.011607,0.015689,0.001770531,0.1
50,0.009,0.01336,0.022326,0.001973941,0.12
51,0.009,0.011595,0.017301,0.001566958,0.1
52,0.009,0.01282,0.022341,0.00204025,0.11
53,0.009,0.011463,0.014304,0.001576833,0.09
54,0.005,0.010592,0.017133,0.00146331,0.08
55,0.007,0.012608,0.021903,0.001658451,0.11
56,0.007,0.010721,0.019731,0.001511214,0.12
57,0.01,0.01384,0.021694,0.001887258,0.11
58,0.01,0.014615,0.023988,0.00153411,0.12
59,0.012,0.011976,0.023216,0.001613939,0.1
60,0.008,0.012393,0.015763,0.001774581,0.09
