problem_number,FORM,Mathematica,Rings,Singular
11,0.434,0.040707,0.024287289,0.07
12,0.244,0.020286,0.028445337,0.03
13,0.166,0.035809,0.024192173,0.07
14,0.43,0.040547,0.024675502,0.03
15,0.229,0.038086,0.025029952,0.05
16,0.431,0.024897,0.020078988,0.04
17,0.281,0.039938,0.02228483,0.17
18,0.138,0.045616,0.015140122,0.05
19,0.207,0.019154,0.014867256,0.07
20,0.339,0.04032,0.015585345,0.05
21,0.161,0.079151,0.020630116,0.03
22,0.29,0.021151,0.015322216,0.03
23,0.504,0.027773,0.018299831,0.15
24,0.211,0.035942,0.016159985,0.04
25,0.358,0.044552,0.014589941,0.2
26,0.363,0.034639,0.020925059,0.09
27,0.253,0.038633,0.020430035,0.04
28,0.545,0.039588,0.021438764,0.03
29,0.37,0.043175,0.01725673,0.04
30,0.263,0.054878,0.021939603,0.06
31,0.258,0.082433,0.01997211,0.09
32,0.75,0.045921,0.018791899,0.04
33,0.346,0.052669,0.017954024,0.09
34,0.407,0.030866,0.024568694,0.04
35,0.378,0.026364,0.019839396,0.04
36,0.095,0.046391,0.020089134,0.07
37,0.333,0.040931,0.018907958,0.18
38,0.563,0.039225,0.019770705,0.04
39,0.793,0.035368,0.016141202,0.03
40,0.165,0.033142,0.017775126,0.18
41,0.283,0.039289,0.019861248,0.04
42,0.13,0.04836,0.017865537,0.06
43,0.13,0.020746,0.014188155,0.09
44,0.296,0.033954,0.018902408,0.06
45,0.093,0.033254,0.015219169,0.16
46,0.178,0.027658,0.018047152,0.04
47,0.15,0.026776,0.013677887,0.05
48,0.318,0.025143,0.012480922,0.09
49,0.195,0.020589,0.009588234,0.04
50,0.316,0.044975,0.015549279,0.11
51,0.318,0.041027,0.014391166,0.06
52,0.429,0.04237,0.015262134,0.04
53,0.141,0.024923,0.010875961,0.15
54,0.499,0.041064,0.012895378,0.05
55,0.452,0.020957,0.009617806,0.16
56,0.227,0.053009,0.013216614,0.07
57,0.334,0.025921,0.011247166,0.05
58,0.49,0.036696,0.011173168,0.03
59,0.126,0.043573,0.011787296,0.05
60,0.325,0.035675,0.01287265,0.06
