problem_number,FORM,Rings,Singular
11,3.385,0.14085552,0.14
12,3.485,0.180435836,0.13
13,6.815,0.155661242,0.2
14,3.183,0.135939574,0.2
15,4.11,0.133391051,0.14
16,4.513,0.139236145,0.27
17,6.11,0.127907407,0.28
18,5.221,0.156029498,0.17
19,3.494,0.110545444,0.24
20,1.763,0.102258033,0.17
21,5.942,0.137416637,0.2
22,3.284,0.11560816,0.27
23,5.494,0.135212008,0.3
24,6.193,0.132003219,0.17
25,1.958,0.107832058,0.26
26,3.313,0.101034359,0.14
27,3.294,0.116713837,0.15
28,3.035,0.104758531,0.19
29,4.963,0.112221847,0.25
30,3.801,0.117964012,0.14
31,3.523,0.233472687,0.21
32,1.676,0.155268442,0.16
33,5.782,0.269086371,0.11
34,4.124,0.195568215,0.24
35,1.757,0.138288589,0.15
36,2.851,0.121993786,0.23
37,2.357,0.158861706,0.41000000000000003
38,4.178,0.164891744,0.21
39,10.454,0.13909125,0.17
40,3.663,0.149325624,0.21
41,4.148,0.118973782,0.17
42,4.05,0.141900425,0.31
43,4.922,0.117396715,0.15
44,4.717,0.127144899,0.16
45,5.127,0.152069205,0.2
46,3.562,0.132838704,0.33
47,8.543,0.137554538,0.15
48,4.105,0.160332181,0.19
49,5.593,0.12184313,0.16
50,5.535,0.130188549,0.15
51,5.047,0.141114677,0.15
52,5.078,0.104469022,0.2
53,2.659,0.086026742,0.14
54,5.376,0.1548262,0.29
55,6.39,0.132296268,0.27
56,4.274,0.148724413,0.31
57,8.023,0.26169102,0.25
58,2.447,0.166254147,0.26
59,2.904,0.136976076,0.19
60,2.1,0.176068588,0.26
