problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular
11,0.000237372,0.005,0.019596,0.019087,0.003979932,0.162
12,0.000200002,0.005,0.015591,0.015879,0.003491799,0.137
13,0.000177479,0.005,0.013929,0.012645,0.002759513,0.11900000000000001
14,0.000205907,0.006,0.015942,0.01524,0.003606371,0.126
15,0.000190915,0.004,0.013771,0.014688,0.003430874,0.124
16,0.000234921,0.007,0.019342,0.017369,0.003940814,0.161
17,0.00016829,0.004,0.012659,0.014853,0.002783828,0.107
18,0.000219852,0.005,0.017511,0.015499,0.003321692,0.145
19,0.000175333,0.004,0.012518,0.012405,0.002647154,0.11900000000000001
20,0.000236029,0.005,0.020138,0.017574,0.003753827,0.161
21,0.000227096,0.005,0.017239,0.015368,0.003399797,0.129
22,0.000207922,0.005,0.016794,0.01112,0.003098871,0.137
23,0.000196755,0.003,0.014172,0.016011,0.00289933,0.111
24,0.000192748,0.005,0.015549,0.015894,0.002974945,0.132
25,0.000243193,0.008,0.020132,0.014925,0.003710039,0.166
26,0.000232971,0.004,0.01829,0.017721,0.003422975,0.159
27,0.000208061,0.005,0.017197,0.017045,0.003431217,0.153
28,0.000169811,0.003,0.012502,0.014549,0.002263989,0.11900000000000001
29,0.00021242,0.007,0.017977,0.017298,0.003311604,0.14
30,0.000230349,0.008,0.018771,0.019627,0.003670712,0.156
31,0.000222773,0.005,0.017232,0.017315,0.003398905,0.155
32,0.000196378,0.005,0.016125,0.016032,0.002936525,0.129
33,0.000225885,0.005,0.018638,0.018407,0.003251464,0.148
34,0.000224204,0.005,0.018811,0.017635,0.0033832,0.20400000000000001
35,0.000210188,0.006,0.01686,0.017504,0.00312095,0.14400000000000002
36,0.000166852,0.004,0.012323,0.012593,0.0022284,0.26
37,0.00019261,0.004,0.016038,0.018347,0.002621315,0.135
38,0.000198749,0.005,0.015526,0.016855,0.002914643,0.232
39,0.000182568,0.005,0.01321,0.016026,0.002643304,0.116
40,0.000190958,0.005,0.016144,0.017057,0.002910012,0.134
41,0.000190388,0.004,0.015124,0.017666,0.002773592,0.139
42,0.000196056,0.006,0.016362,0.014315,0.002600903,0.016
43,0.000186645,0.006,0.01461,0.01249,0.002713544,0.17500000000000002
44,0.000182668,0.004,0.014535,0.013375,0.005711449,0.116
