problem_number,FLINT,FORM,Mathematica,Rings,Singular,Symbolica
11,0.0456248,2.984,0.05943,0.146934521,0.134,1.74058
12,0.0336712,2.865,0.045803,0.120274228,0.12,1.36629
13,0.0794655,3.72,0.099315,0.140481077,0.133,3.094692
14,0.0575384,3.111,0.072065,0.152370573,0.22,3.18349
15,0.0654061,3.295,0.083113,0.128118533,0.296,2.114384
16,0.0470361,4.626,0.059983,0.148629449,0.14,2.242109
17,0.0338952,4.562,0.043925,0.137874132,0.164,2.17514
18,0.0376437,4.051,0.04787,0.132567156,0.107,1.947143
19,0.0347384,8.088,0.045068,0.107875196,0.116,1.800381
20,0.0392963,6.058,0.052402,0.152893499,0.337,2.283835
21,0.0447154,2.669,0.056374,0.140592067,0.261,3.227961
22,0.042627,4.807,0.057777,0.149168064,0.362,2.255937
23,0.0720955,8.855,0.088259,0.134623779,0.149,4.660896
24,0.0701382,7.272,0.08626,0.118152207,0.177,2.198884
25,0.0499841,3.45,0.064651,0.110829752,0.122,1.769379
26,0.0527727,3.516,0.067372,0.117105756,0.169,3.106046
27,0.117534,3.803,0.142275,0.116949022,0.13,2.11737
28,0.0528884,5.604,0.067953,0.126801969,0.114,2.628658
29,0.0380849,4.615,0.051758,0.115471739,0.12,2.144384
30,0.0680692,4.693,0.083556,0.101706964,0.11800000000000001,1.836513
31,0.291069,4.57,0.347335,0.132556057,0.34500000000000003,3.55889
32,0.0706771,5.148,0.08783,0.143977549,0.356,2.761864
33,0.0402588,3.458,0.05233,0.092033515,0.228,1.883453
34,0.0467883,4.2,0.058218,0.118995688,0.115,1.860894
35,0.0614254,6.145,0.077392,0.107422718,0.201,1.810811
36,0.0319645,3.047,0.044893,0.126940112,0.224,1.837848
37,0.0530412,3.373,0.064796,0.106190784,0.10300000000000001,1.91735
38,0.0373956,3.553,0.047775,0.092171937,0.177,1.349884
39,0.0700106,4.945,0.085879,0.148018898,0.306,2.481025
40,0.0436486,2.503,0.057894,0.116434987,0.183,1.516689
41,0.0418762,3.984,0.056777,0.121133595,0.149,1.774126
42,0.0352708,3.619,0.049038,0.102496949,0.158,1.80845
43,0.0418677,5.506,0.05756,0.114254462,0.314,2.501547
44,0.0302471,5.629,0.041329,0.106958805,0.171,1.46108
45,0.0335275,2.105,0.044226,0.085812797,0.23500000000000001,1.022661
46,0.0383153,3.185,0.051436,0.113246328,0.136,2.375667
47,0.0574674,4.604,0.070438,0.120557385,0.135,2.0603
48,0.0449148,6.828,0.056985,0.115986579,0.13,2.219693
49,0.0718652,3.263,0.089888,0.14721703,0.369,2.91373
50,0.0544721,3.987,0.069917,0.116021037,0.308,2.201476
51,0.0366458,3.841,0.048118,0.111262365,0.149,1.97608
52,0.0385881,3.046,0.050611,0.111244099,0.127,1.680895
53,0.0599076,5.788,0.076382,0.143011555,0.23800000000000002,3.216263
54,0.0316136,4.385,0.041422,0.120128506,0.112,2.219146
55,0.0496874,7.131,0.061204,0.118053035,0.121,4.036204
