problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Symbolica
11,0.00233453,0.064,0.012723,0.007149,0.024464224,0.00364
12,0.00204082,0.017,0.011533,0.007746,0.026994468,0.004526
13,0.00198343,0.065,0.011701,0.017434,0.033008814,0.004124
14,0.00207061,0.132,0.012854,0.007276,0.028611901,0.005177
15,0.00258942,0.006,0.013096,0.012728,0.029710831,0.005653
16,0.00199437,0.013,0.011477,0.01096,0.024501959,0.004303
17,0.00179354,0.025,0.011202,0.015109,0.022056719,0.003819
18,0.00218603,0.014,0.01184,0.008444,0.02603735,0.004367
19,0.00171906,0.044,0.012858,0.005454,0.023329144,0.003642
20,0.00284059,0.017,0.01346,0.010171,0.025890136,0.004649
21,0.00218023,0.008,0.011724,0.007309,0.024776309,0.003552
22,0.00218476,0.015,0.012564,0.007264,0.022685245,0.003881
23,0.00302501,0.014,0.013239,0.012471,0.02287635,0.005408
24,0.00199434,0.027,0.013837,0.009973,0.007731223,0.005738
25,0.00305053,0.009,0.016175,0.006642,0.017861779,0.003251
26,0.00158705,0.055,0.012,0.009222,0.017450317,0.003689
27,0.00269691,0.025,0.012378,0.00512,0.005661232,0.003308
28,0.00261782,0.012,0.012551,0.010177,0.019890765,0.004691
29,0.00237963,0.064,0.013603,0.00539,0.017300539,0.003817
30,0.0013648,0.009,0.012031,0.009078,0.00571081,0.003259
31,0.00252605,0.01,0.016342,0.009882,0.023017695,0.004634
32,0.00183869,0.124,0.012023,0.007563,0.018604188,0.00425
33,0.00178152,0.082,0.011301,0.006817,0.023084527,0.004945
34,0.00386367,0.024,0.012897,0.006195,0.022161395,0.003692
35,0.00295128,0.013,0.01183,0.004383,0.017689501,0.003508
36,0.0020792,0.042,0.013342,0.007034,0.02367347,0.004988
37,0.00187425,0.013,0.013043,0.008494,0.01914018,0.004084
38,0.00175234,0.062,0.013643,0.011759,0.008355368,0.006833
39,0.00164613,0.05,0.009079,0.005705,0.013857733,0.003156
40,0.00316731,0.007,0.010933,0.00391,0.014619361,0.003059
41,0.00186098,0.042,0.011395,0.011034,0.020248417,0.003956
42,0.0016001,0.015,0.009454,0.007046,0.005279192,0.002611
43,0.000320259,0.017,0.009552,0.006636,0.00388395,0.002881
44,0.000428659,0.009,0.012019,0.006903,0.013608293,0.002953
45,0.00289081,0.078,0.012428,0.006279,0.021208483,0.004398
46,0.00178817,0.006,0.012543,0.009059,0.018652413,0.002936
47,0.00197525,0.037,0.013559,0.010949,0.014941345,0.005933
48,0.00233361,0.013,0.011777,0.009684,0.016717416,0.00377
49,0.0023793,0.09,0.01204,0.008635,0.023147851,0.005128
50,0.00225185,0.058,0.012823,0.007378,0.020008412,0.004569
51,0.0023078,0.05,0.012487,0.011873,0.006972694,0.005413
52,0.00229065,0.035,0.012756,0.009377,0.01667346,0.003863
53,0.00250863,0.106,0.013315,0.009144,0.038476092,0.003665
54,0.00219192,0.012,0.011553,0.009804,0.021509867,0.00385
55,0.00252444,0.074,0.012248,0.008305,0.022520026,0.004224
56,0.00237565,0.011,0.012101,0.007582,0.019250726,0.004122
57,0.00246243,0.068,0.013993,0.010058,0.026212602,0.004588
58,0.00161235,0.014,0.010992,0.011094,0.01712368,0.003249
59,0.00185848,0.019,0.013315,0.009449,0.011256186,0.0055
60,0.00171075,0.128,0.010122,0.006088,0.004410107,0.003766
61,0.00224165,0.013,0.015497,0.007647,0.006297681,0.003704
62,0.00164643,0.01,0.011159,0.008397,0.018822209,0.004261
63,0.00179658,0.015,0.012727,0.008579,0.01977446,0.004314
64,0.00247507,0.046,0.014021,0.008822,0.017404831,0.002756
65,0.0022821,0.068,0.011861,0.008871,0.018589848,0.004076
66,0.00339139,0.023,0.015088,0.007727,0.016222712,0.0032
