problem_number,FLINT,Mathematica,reFORM,Rings
11,0.00451632,0.039397,0.166701,0.098335821
12,0.00347511,0.028457,0.074192,0.067444637
13,0.00389328,0.034391,0.098714,0.08126584
14,0.00416505,0.036934,0.117914,0.087073894
15,0.00448548,0.036493,0.098787,0.094478932
16,0.00369196,0.030606,0.098515,0.093922153
17,0.00341794,0.028515,0.111412,0.066748961
18,0.00354775,0.032071,0.142185,0.089011907
19,0.00482977,0.034919,0.120843,0.070262832
20,0.00338911,0.030017,0.127592,0.091794032
21,0.00440211,0.039458,0.190514,0.095808706
22,0.00293237,0.02842,0.115713,0.053795374
23,0.00384249,0.030436,0.110545,0.078199861
24,0.00463983,0.036213,0.099411,0.094215435
25,0.0041673,0.031233,0.11965,0.05953653
26,0.0038724,0.036006,0.147827,0.08743739
27,0.00472495,0.039937,0.098906,0.100937904
28,0.00396111,0.03462,0.129357,0.082040615
29,0.00381853,0.032902,0.133372,0.078095786
30,0.00293202,0.025565,0.072148,0.057153002
31,0.00387546,0.034785,0.075339,0.074271448
32,0.00317704,0.028361,0.121083,0.063233766
33,0.0040965,0.03914,0.131784,0.100912274
34,0.00374371,0.0366,0.112496,0.079751181
35,0.00423189,0.040357,0.147801,0.107567248
36,0.00390537,0.032248,0.133729,0.086326865
37,0.00301411,0.02641,0.131337,0.052802217
38,0.00390665,0.032954,0.159585,0.081108091
39,0.00496405,0.0368,0.145311,0.097436709
40,0.00389736,0.034021,0.118655,0.077696058
41,0.00455578,0.041536,0.152154,0.086898748
42,0.00415075,0.030518,0.092935,0.072799185
43,0.00439985,0.037293,0.132397,0.101093053
44,0.00438361,0.035615,0.162873,0.092428446
45,0.00445558,0.040444,0.151399,0.093913674
46,0.00328762,0.029214,0.120569,0.063218084
47,0.0043803,0.032614,0.103053,0.063327734
48,0.00341952,0.026243,0.090314,0.05579933
49,0.00460538,0.03709,0.096347,0.095963608
50,0.00410409,0.032934,0.129646,0.079700815
51,0.00314914,0.029723,0.114815,0.056987909
