problem_number,FLINT,Mathematica,Rings,Singular
11,0.0598351,0.078235,0.18119874,0.258
12,0.0398361,0.053407,0.107301841,0.20400000000000001
13,0.0136042,0.024909,0.168860021,0.242
14,0.0134158,0.024366,0.141393749,0.431
15,0.0811907,0.105992,0.148171147,0.277
16,0.0829866,0.104699,0.158281856,0.275
17,0.120961,0.154617,0.148750303,0.255
18,0.0497682,0.063322,0.154334949,0.20500000000000002
19,0.0112167,0.01899,0.119437902,0.203
20,0.205299,0.264709,0.175295355,0.305
21,0.471063,0.576513,0.153779917,0.265
22,0.0200958,0.032256,0.1613547,0.28200000000000003
23,0.248951,0.303836,0.155640166,0.251
24,0.013157,0.024533,0.118410682,0.241
25,0.0115643,0.020501,0.117452261,0.34900000000000003
26,0.243382,0.305674,0.118682506,0.423
27,0.0156539,0.025482,0.12296908,0.232
28,0.0901008,0.113687,0.138216653,0.251
29,0.0165838,0.027398,0.123899509,0.231
30,0.0514146,0.066135,0.118521106,0.20400000000000001
31,0.0151477,0.025913,0.127504943,0.255
32,0.0753442,0.098614,0.17073875,0.299
33,0.0154247,0.02354,0.173985028,0.20600000000000002
34,0.0139547,0.021902,0.1237159,0.20800000000000002
35,0.0698527,0.085918,0.140652991,0.249
36,0.0548855,0.072141,0.190494745,0.264
37,0.0154159,0.022974,0.123737904,0.21
38,0.044012,0.0593,0.112090528,0.212
39,0.0186365,0.03042,0.139055,0.28500000000000003
40,0.0151309,0.026278,0.135677286,0.246
41,0.0611061,0.080703,0.161576619,0.247
42,0.0195764,0.031779,0.149851901,0.252
43,0.0622464,0.080723,0.125209148,0.262
44,0.180059,0.222831,0.125747656,0.229
45,0.0474966,0.060422,0.109775458,0.182
46,0.0132918,0.025457,0.128943763,0.267
47,0.191518,0.234503,0.135151117,0.253
48,0.0655233,0.081155,0.132167851,0.2
49,0.0180123,0.029868,0.144945082,0.281
50,0.0173715,0.031091,0.143724538,0.274
51,0.808885,0.992615,0.140085612,0.252
52,0.0170743,0.027553,0.129883459,0.278
53,0.0882017,0.108992,0.156765148,0.292
54,0.0687672,0.082243,0.138396033,0.22
55,0.0761768,0.093955,0.112249289,0.215
56,0.0529418,0.064609,0.117756783,0.199
57,0.0522623,0.067075,0.136223309,0.266
58,0.0467863,0.060833,0.12942594,0.243
59,0.347379,0.421084,0.172256845,0.304
60,0.0149605,0.025465,0.124843006,0.224
61,0.0209216,0.035333,0.159171827,0.277
62,0.0558859,0.072829,0.130087862,0.242
63,0.0896394,0.114726,0.104935744,0.215
64,0.0137301,0.024824,0.146275996,0.255
65,0.0734709,0.091891,0.166063294,0.23800000000000002
66,0.0155473,0.029262,0.143853271,0.298
67,0.0712197,0.091675,0.152077573,0.242
68,0.0671141,0.085443,0.138564195,0.278
69,0.126286,0.158692,0.11641174,0.252
70,0.0170771,0.028138,0.15397296,0.28500000000000003
71,0.0142279,0.022249,0.125635595,0.218
72,0.126189,0.160248,0.111077793,0.214
73,0.0745993,0.088852,0.132814429,0.229
