problem_number,FLINT,FORM,Mathematica,Singular
11,0.00376645,0.247,0.017794,0.043000000000000003
12,0.00238506,0.202,0.013935,0.064
13,0.00467128,0.334,0.014485,0.07
14,0.00221939,0.064,0.012707,0.06
15,0.00440213,0.143,0.014501,0.068
16,0.0037487,0.52,0.016333,0.13
17,0.00375016,1.152,0.017,0.109
18,0.00354824,0.507,0.019118,0.079
19,0.00196011,0.48,0.020297,0.099
20,0.00321986,0.253,0.01735,0.075
21,0.00247899,0.36,0.013623,0.063
22,0.00269293,0.639,0.015171,0.067
23,0.00363301,0.213,0.014996,0.217
24,0.00200884,0.232,0.011768,0.06
25,0.00505014,0.442,0.021408,0.065
26,0.00361286,0.79,0.015901,0.096
27,0.00366174,0.452,0.020855,0.096
28,0.00190536,0.27,0.019031,0.07
29,0.00313631,0.202,0.021552,0.068
30,0.0039366,0.289,0.015579,0.062
31,0.00135635,0.5,0.015939,0.056
32,0.00382009,0.449,0.015109,0.123
33,0.00351191,0.999,0.018768,0.06
34,0.00262298,0.361,0.018994,0.051000000000000004
35,0.00311924,0.044,0.015537,0.092
36,0.00117317,0.238,0.011986,0.07
37,0.00343886,0.546,0.018832,0.106
38,0.00382139,0.41,0.019478,0.074
39,0.00204266,0.642,0.014068,0.046
40,0.00477203,0.167,0.017188,0.055
41,0.00310706,0.186,0.020833,0.098
42,0.00381806,0.435,0.017536,0.12
43,0.00352151,0.935,0.023275,0.08600000000000001
44,0.00350006,0.019,0.012746,0.045
45,0.00813103,0.65,0.021608,0.073
46,0.0010593,0.235,0.021396,0.082
47,0.00453608,0.197,0.014742,0.057
48,0.00296924,0.194,0.015235,0.073
49,0.00155789,0.581,0.013029,0.052000000000000005
50,0.00215611,0.369,0.013058,0.059000000000000004
51,0.00853576,0.559,0.021938,0.073
52,0.00413255,0.107,0.017402,0.066
53,0.00414738,0.321,0.01663,0.039
54,0.00284916,0.262,0.015897,0.069
55,0.00204907,0.599,0.016401,0.07
56,0.00100394,0.199,0.013395,0.062
57,0.00446854,0.355,0.015232,0.05
58,0.00312205,0.644,0.019803,0.123
59,0.00311036,0.231,0.018653,0.066
60,0.00411516,0.629,0.018678,0.079
61,0.00321465,0.282,0.015733,0.047
62,0.00354624,0.295,0.017105,0.058
63,0.00318032,0.506,0.018573,0.061
64,0.00430084,0.286,0.018554,0.056
65,0.00601438,0.246,0.019538,0.053
