problem_number,FLINT,FORM,Mathematica,Rings,Singular
11,0.000567587,0.799,0.008577,0.031818036,0.037
12,0.00158803,6.417,0.012414,0.049279189,0.47000000000000003
13,0.000952288,4.285,0.008105,0.033302871,0.159
14,0.00272004,29.773,0.01123,0.208505627,0.16
15,0.0182173,6.047,0.029267,0.223832805,0.155
16,0.00213464,0.941,0.010458,0.101054956,0.1
17,0.000660322,1.77,0.006815,0.013564664,0.041
18,0.000495357,10.759,0.008277,0.019680353,0.073
19,0.00463005,4.344,0.011007,0.136631097,0.163
20,0.00133629,7.122,0.008348,0.027467089,0.162
21,0.000951152,31.538,0.007772,0.02970222,0.064
22,0.000532,7.179,0.006595,0.025950965,0.047
23,0.000752857,1.068,0.011179,0.039925236,0.034
24,0.000685861,3.796,0.009074,0.033696587,0.06
25,0.000682443,3.866,0.008453,0.018064391,0.147
26,0.000660019,2.534,0.00906,0.022208187,0.10400000000000001
27,0.0491001,2.131,0.067155,0.137250399,0.17200000000000001
28,0.0148373,0.912,0.02612,3.294918517,0.242
29,0.00234475,11.908,0.009743,0.124222648,0.13
30,0.00071528,4.07,0.008593,0.033942856,0.166
31,0.000534318,3.987,0.00767,0.009627783,0.077
32,0.000763932,6.44,0.009638,0.022969464,0.03
33,0.000482875,1.54,0.006126,0.010400245,0.078
34,0.000546355,5.129,0.007415,0.015146969,0.048
35,0.000684671,0.604,0.01073,0.016197034,0.054
36,0.000561192,0.213,0.007613,0.032714185,0.055
37,0.00519198,2.739,0.01582,0.819706438,0.191
38,0.000614173,6.676,0.010152,0.038048573,0.043000000000000003
39,0.00485392,5.32,0.01235,0.162107017,4.6290000000000004
40,0.0119702,8.879,0.021369,0.195099188,0.182
41,0.00909734,0.703,0.02164,0.127968734,0.146
42,0.00175602,9.319,0.011078,0.040206323,23.294
43,0.000941609,6.763,0.01233,0.040249588,0.044
44,0.0150032,2.291,0.022114,0.1328976,0.106
45,0.00188445,3.404,0.012481,0.02996494,3.257
46,0.00239663,2.744,0.011229,0.184578711,0.245
47,0.00392251,1.219,0.011682,0.109390623,0.129
48,0.00471049,4.068,0.014239,0.154102351,0.197
49,0.000581202,5.486,0.009953,0.017471317,0.07
50,0.000667524,15.812,0.008428,0.016206836,0.121
51,0.00109888,4.456,0.009398,0.035670385,0.057
52,0.000849309,4.653,0.008943,0.030840295,0.1
53,0.000649119,4.047,0.008736,0.015143855,0.133
54,0.00834359,7.98,0.016561,0.194971194,0.131
55,0.000770801,4.517,0.008922,0.019716003,0.105
56,0.00277204,3.448,0.011383,0.159711918,0.1
57,0.000864179,0.716,0.008626,0.032073998,0.075
58,0.0011524,3.237,0.008175,0.032413275,1.375
59,0.00443638,3.397,0.014057,0.18719146,0.14300000000000002
60,0.000679434,3.349,0.008318,0.007045681,0.094
61,0.0182853,0.308,0.029755,0.159797699,0.167
62,0.00434409,0.533,0.011639,0.089920725,0.12
63,0.00465155,11.412,0.015638,0.18521072,0.162
64,0.000858221,1.678,0.012531,0.023332754,0.052000000000000005
65,0.000508048,13.593,0.008264,0.013771926,0.073
66,0.00238865,3.763,0.009976,0.151361291,0.164
67,0.00933847,4.868,0.017641,0.1801429,0.178
68,0.00410572,5.52,0.015664,0.145684645,0.184
69,0.00725233,5.895,0.017252,0.158144754,0.171
70,0.00518586,4.235,0.011184,0.162978806,0.097
71,0.000764787,0.998,0.01196,0.03529773,0.043000000000000003
72,0.000547373,6.728,0.006849,0.030130036,0.027
73,0.000780341,7.942,0.009279,0.029788732,0.127
74,0.00320374,8.548,0.010404,0.17057597,0.145
75,0.000521166,3.648,0.007875,0.02853639,0.081
76,0.011469,4.272,0.01956,0.157805196,0.157
77,0.000614283,0.649,0.007047,0.026907259,0.04
78,0.000740492,0.011,0.010385,0.017375087,0.076
79,0.00374646,3.086,0.011109,0.136588622,0.137
80,0.000674417,7.11,0.008011,0.030760338,1.351
81,0.00197599,3.054,0.008803,0.03557407,0.16
82,0.00512456,9.304,0.013813,0.157002951,0.19
83,0.000839739,6.147,0.008201,0.028206707,0.219
84,0.0146547,7.234,0.023532,0.15158723,0.157
85,0.00875255,3.977,0.016146,0.15707272,0.17400000000000002
86,0.000890289,1.912,0.00937,0.019469732,0.039
87,0.00939277,12.565,0.020172,0.143517058,0.148
88,0.000961849,3.901,0.010996,0.03731933,0.195
89,0.00115793,1.555,0.009251,0.032761953,0.067
90,0.000706753,4.309,0.009312,0.019259728,0.047
91,0.00672304,0.24,0.023653,0.195767563,0.095
92,0.00749448,3.438,0.017441,0.101332399,0.124
93,0.00510348,5.827,0.013028,0.135332753,0.157
94,0.0183553,0.462,0.028695,0.118729952,0.136
95,0.00842268,4.676,0.017264,0.202095555,0.209
96,0.00775056,5.251,0.014459,0.097583596,0.145
97,0.00669356,7.384,0.013717,0.103495502,0.179
98,0.00524913,3.228,0.015224,0.183608069,0.153
99,0.0102195,0.705,0.021299,0.130098499,0.14400000000000002
100,0.000813164,17.434,0.007444,0.02835819,0.128
101,0.00158814,10.738,0.009411,0.038079945,2.1710000000000003
102,0.0123798,3.052,0.011181,0.137736955,0.132
103,0.00719893,5.92,0.017587,0.109922922,0.165
104,0.000660017,8.943,0.012177,0.021332106,0.128
105,0.00724865,4.126,0.013896,0.14560627,0.128
106,0.00103425,7.521,0.008028,0.027917357,0.077
107,0.00349415,4.249,0.009681,0.102923179,0.109
108,0.00159923,9.612,0.009647,0.035321883,0.325
109,0.00308846,4.292,0.00982,0.146205359,0.134
110,0.00113601,5.105,0.011054,0.034610106,1.502
111,0.000663122,11.344,0.009291,0.022744097,0.048
112,0.0100104,11.026,0.021707,0.150486191,0.17
113,0.000909877,3.041,0.009544,0.028936313,0.053
114,0.00774217,3.619,0.017181,0.151401025,0.189
115,0.000494046,7.735,0.007883,0.01652646,1.576
116,0.000720734,18.881,0.008907,0.015568165,0.183
117,0.00137895,4.59,0.009049,0.030370206,0.125
118,0.00609134,7.84,0.013298,0.14109706,0.158
119,0.00152089,9.828,0.008556,0.029593199,0.046
120,0.00146091,10.315,0.008579,0.029687513,0.062
121,0.000778083,3.897,0.006432,0.024877012,0.076
122,0.00957751,0.609,0.013806,0.157713617,0.108
123,0.0182589,11.497,0.026951,0.130763078,0.165
124,0.000715094,3.392,0.00787,0.019069828,0.033
125,0.000817725,0.177,0.007693,0.030712131,0.052000000000000005
126,0.00897383,8.219,0.018913,0.122759215,0.12
127,0.000645954,16.922,0.010017,0.019134949,0.075
128,0.00230194,1.94,0.012459,0.183257161,0.182
129,0.00852895,4.103,0.023511,0.148472704,0.127
130,0.00283527,1.896,0.012562,0.17170493,0.14
131,0.00359395,8.846,0.012284,0.118302261,0.156
132,0.00896758,5.465,0.018077,0.105176253,0.122
133,0.000740234,6.252,0.008677,0.032104241,0.068
134,0.000685647,2.785,0.008837,0.017723662,0.064
135,0.000645239,0.533,0.008553,0.028509717,0.033
136,0.00252168,5.708,0.010578,0.149602227,0.153
137,0.000508033,1.296,0.008246,0.016662062,0.06
138,0.00250464,7.411,0.012282,0.159351473,0.163
139,0.000723331,5.108,0.011045,0.022770029,0.027
140,0.000811213,0.215,0.006869,0.025064923,0.04
141,0.000725818,9.398,0.009504,0.016182445,0.032
142,0.00069565,14.422,0.011155,0.029029208,0.056
143,0.000544486,6.373,0.006574,0.014124435,0.07
144,0.00869351,0.618,0.014936,0.098146339,0.13
145,0.0180098,8.5,0.02725,0.195350225,10.352
146,0.0206077,0.6,0.029384,0.08645643,0.169
147,0.00499652,7.18,0.024584,0.166763885,18.309
148,0.00145089,8.77,0.008425,0.030883263,0.059000000000000004
149,0.0224598,4.329,0.034268,0.187949762,0.234
150,0.000732712,0.564,0.009783,0.021257007,0.048
151,0.00243119,4.093,0.013127,0.138608291,0.147
152,0.0139331,0.526,0.021167,0.146664859,0.212
153,0.000732159,3.12,0.008152,0.034459695,0.048
154,0.000676262,6.631,0.008997,0.017912465,0.093
155,0.00520419,5.457,0.012074,0.099440083,0.10200000000000001
156,0.00412439,0.187,0.011199,0.097958579,0.128
157,0.000551485,2.948,0.008281,0.016571792,0.067
158,0.000720257,7.778,0.007194,0.014637131,0.113
159,0.000766273,8.897,0.009849,0.033419715,0.721
160,0.000935211,18.204,0.008886,0.029697744,0.07
161,0.000684666,23.329,0.009482,0.016763635,0.035
162,0.000674827,0.244,0.010209,0.017082574,0.083
163,0.000627041,5.779,0.009264,0.029082212,0.08
164,0.000690174,8.071,0.009031,0.031546514,0.069
165,0.00421289,8.175,0.01191,0.119700741,0.181
166,0.00127623,3.581,0.00673,0.02367305,0.171
167,0.00297381,0.594,0.01117,0.124257269,0.08700000000000001
168,0.00157546,6.054,0.009238,0.036185907,4.806
169,0.00338089,2.366,0.01309,0.126257277,0.146
170,0.0215384,0.936,0.032125,0.102957601,0.138
171,0.000541874,3.636,0.006899,0.00641841,0.063
172,0.00283005,0.734,0.010914,0.103883033,0.121
173,0.0213594,0.456,0.032706,0.180523544,0.167
174,0.0018121,1.512,0.010411,0.037618611,0.057
175,0.00071916,0.489,0.01002,0.031150326,0.064
176,0.0127053,6.39,0.021432,0.16881164,0.199
177,0.0166595,0.066,0.024856,0.146299291,0.137
178,0.0088469,6.093,0.017575,0.194303477,0.132
179,0.00310052,0.457,0.009974,1.519788868,0.131
180,0.015813,0.234,0.024717,0.088417527,0.108
181,0.00129491,8.692,0.012098,0.019982098,0.069
182,0.000760129,0.023,0.009236,0.016832439,0.055
183,0.000511036,0.407,0.008929,0.016330329,0.049
184,0.000533556,8.339,0.007982,0.01484478,0.08700000000000001
185,0.000558931,0.368,0.007208,0.029885207,0.043000000000000003
186,0.00210126,11.797,0.01389,0.049188481,0.155
187,0.00131739,4.6,0.008089,0.025910529,0.113
188,0.0026095,8.306,0.011891,0.146033053,0.139
189,0.0104087,0.407,0.021535,0.129259464,0.125
190,0.000752965,3.163,0.009698,0.033126992,3.54
191,0.00209003,1.751,0.009823,0.150020704,0.112
192,0.00425086,1.26,0.010646,0.127414627,0.14400000000000002
193,0.000502319,5.634,0.007218,0.009043368,0.094
194,0.000523362,3.472,0.008023,0.007036207,0.094
195,0.000921255,3.448,0.009568,0.033487989,0.166
196,0.00806978,3.275,0.014772,0.132135686,0.14
197,0.00560731,5.819,0.014913,0.195388457,0.178
198,0.00353745,7.185,0.012875,0.129046481,0.133
199,0.000669481,5.117,0.010904,0.018491663,0.07100000000000001
200,0.00820024,4.443,0.018328,0.126710994,0.164
201,0.000487463,6.067,0.006798,0.006309793,0.03
202,0.000546478,3.173,0.009194,0.017096546,0.074
203,0.00138523,12.593,0.008151,0.031803928,0.259
204,0.000549441,0.315,0.008299,0.015087661,0.043000000000000003
205,0.00242586,3.853,0.01046,0.168378327,0.19
206,0.00187933,2.904,0.013199,0.03213366,0.057
207,0.000498894,5.578,0.007466,0.028665747,0.043000000000000003
208,0.00409526,5.044,0.012192,0.164400953,6.839
209,0.00852703,7.874,0.01851,0.125542414,0.163
210,0.002908,10.006,0.00953,0.116196627,0.134
