problem_number,FLINT,Mathematica,reFORM,Rings,Symbolica
11,0.00453112,0.03876,0.1648,0.101898233,0.034142
12,0.00345996,0.027929,0.073644,0.067083026,0.035727
13,0.00391597,0.033841,0.097828,0.081100677,0.031457
14,0.00418095,0.036181,0.116545,0.088032129,0.035432
15,0.00448021,0.035819,0.097939,0.095437205,0.044832
16,0.00368086,0.030326,0.096764,0.095547858,0.030915
17,0.00342849,0.028292,0.110097,0.067630962,0.031142
18,0.00354622,0.031809,0.142674,0.092005138,0.035742
19,0.00482036,0.034281,0.120262,0.07266175,0.032601
20,0.0034068,0.029592,0.124654,0.091810153,0.039263
21,0.00440681,0.038714,0.188232,0.09614227,0.034177
22,0.00290879,0.028208,0.114278,0.054176042,0.024789
23,0.00383416,0.030024,0.109421,0.078384703,0.035709
24,0.00465545,0.035694,0.098363,0.094073287,0.036314
25,0.00415262,0.03089,0.118298,0.059603846,0.031766
26,0.00387742,0.035316,0.14538,0.087994357,0.039268
27,0.00472482,0.039024,0.097785,0.101838354,0.043282
28,0.00396584,0.03406,0.128015,0.084646934,0.033188
29,0.00382125,0.032706,0.131749,0.078381602,0.029223
30,0.00292345,0.024947,0.071355,0.057443574,0.028146
31,0.00387142,0.034205,0.074613,0.07422639,0.033077
32,0.00320915,0.027911,0.119738,0.06284291,0.028515
33,0.00408697,0.0381,0.130419,0.10023428,0.036583
34,0.00371468,0.035746,0.11117,0.07951868,0.036464
35,0.0042279,0.039425,0.146244,0.105324463,0.04324
36,0.0039289,0.031993,0.132384,0.085406673,0.032808
37,0.00303336,0.025983,0.129895,0.054666209,0.022079
38,0.00392508,0.032092,0.157519,0.08029031,0.030579
39,0.00498594,0.035854,0.144364,0.096803203,0.040665
40,0.00392294,0.03348,0.117518,0.078291552,0.03302
41,0.00454472,0.04112,0.150245,0.086762347,0.034903
42,0.00414684,0.030487,0.091939,0.072348304,0.036869
43,0.00439569,0.036803,0.130902,0.101425756,0.039833
44,0.00435924,0.035161,0.160658,0.092642459,0.038725
45,0.00445069,0.039298,0.149337,0.093688846,0.041191
46,0.00330727,0.028991,0.119532,0.065880515,0.03005
47,0.00434171,0.032142,0.101923,0.062838433,0.031388
48,0.0034196,0.026121,0.089353,0.054738792,0.026095
49,0.00460228,0.036309,0.095294,0.096712432,0.039706
50,0.00407659,0.032486,0.128211,0.080132874,0.031283
51,0.0031688,0.02923,0.113286,0.057566579,0.02645
52,0.00375773,0.029046,0.052061,0.058821576,0.028804
53,0.00362765,0.032814,0.166647,0.076540726,0.034491
54,0.0035295,0.029541,0.075524,0.069626171,0.035826
55,0.00436407,0.034608,0.140879,0.078845945,0.029596
56,0.00404447,0.030925,0.122408,0.078640009,0.030434
57,0.00307785,0.027819,0.096466,0.089906652,0.035286
58,0.0032227,0.02905,0.117954,0.067429058,0.03098
59,0.00387606,0.0335,0.124196,0.072248818,0.02988
60,0.00385496,0.034743,0.087724,0.079614142,0.037425
61,0.00379263,0.032525,0.124396,0.075009903,0.037616
62,0.0041787,0.03627,0.118051,0.082933712,0.041886
63,0.00484486,0.040869,0.122521,0.090767345,0.035099
64,0.00384543,0.033633,0.131943,0.075699415,0.038274
65,0.00332888,0.028451,0.096244,0.065915025,0.026609
66,0.00430471,0.039228,0.136974,0.112688509,0.045358
67,0.00409491,0.030179,0.137322,0.066216454,0.028126
68,0.0044382,0.037714,0.125785,0.095617004,0.035343
69,0.0038589,0.028699,0.12654,0.058075549,0.030492
70,0.00464818,0.035736,0.155083,0.079937173,0.033607
71,0.00327991,0.027364,0.092948,0.060191507,0.02399
72,0.00309115,0.028822,0.114308,0.058903636,0.029431
73,0.00400284,0.033929,0.150553,0.083069829,0.037105
74,0.00458832,0.036069,0.134746,0.087995526,0.037419
75,0.00438667,0.03159,0.059354,0.072484042,0.030051
76,0.00433481,0.035228,0.132378,0.089439539,0.037793
77,0.00455935,0.037098,0.140858,0.088266445,0.039232
78,0.0031829,0.028328,0.119514,0.069770455,0.031108
79,0.00391882,0.031206,0.120224,0.069274153,0.031901
80,0.00374165,0.030505,0.119506,0.070551515,0.034228
81,0.00404343,0.03458,0.126722,0.078675718,0.033581
82,0.00366226,0.028767,0.053148,0.075316672,0.029045
83,0.00454507,0.033288,0.117497,0.07206049,0.026898
84,0.00417348,0.032571,0.098547,0.061391404,0.027141
85,0.0040367,0.034134,0.121018,0.092765722,0.042815
86,0.00390555,0.032446,0.142094,0.072728563,0.043001
87,0.00445183,0.030511,0.094517,0.068800904,0.030267
88,0.00452885,0.032806,0.111095,0.080486111,0.03843
89,0.0046564,0.04007,0.179066,0.116395016,0.040474
90,0.00410356,0.035194,0.1299,0.080018417,0.035496
91,0.00391962,0.034478,0.160972,0.074116426,0.028637
92,0.00402871,0.031095,0.108852,0.065677677,0.03481
93,0.00363495,0.033865,0.103545,0.086084702,0.039194
94,0.00410216,0.039647,0.122969,0.112460753,0.050989
95,0.00363603,0.030552,0.088763,0.068193426,0.034875
96,0.0043923,0.037325,0.153204,0.105336311,0.038163
97,0.00413371,0.03459,0.149385,0.073212682,0.03139
