problem_number,FLINT,Mathematica,Rings,Singular,Symbolica
11,0.0598694,0.077373,0.182259807,0.253,0.556944
12,0.0398487,0.052533,0.108524335,0.199,0.135323
13,0.0135901,0.024972,0.169485014,0.229,0.058882
14,0.0133989,0.024321,0.141097359,0.428,0.875739
15,0.0812482,0.10559,0.150692764,0.272,0.204641
16,0.082929,0.104211,0.162407048,0.27,0.388274
17,0.11967,0.155158,0.147850062,0.253,0.270683
18,0.0496769,0.063441,0.156006361,0.202,0.258268
19,0.0112004,0.019365,0.116733617,0.2,0.200804
20,0.205362,0.26457,0.167231835,0.306,0.738258
21,0.471291,0.577782,0.151678499,0.263,0.209304
22,0.0200633,0.032362,0.161358026,0.28200000000000003,0.233004
23,0.248144,0.306721,0.151180224,0.247,1.721139
24,0.0130871,0.024642,0.11832721,0.23700000000000002,1.237572
25,0.011543,0.020589,0.11842205,0.34,0.292089
26,0.243898,0.303663,0.119733045,0.41500000000000004,1.593474
27,0.0156613,0.025642,0.122914767,0.227,0.248903
28,0.0899847,0.113324,0.136999868,0.245,0.232696
29,0.0165633,0.027689,0.124335298,0.215,0.225869
30,0.0515136,0.066855,0.11926408,0.20400000000000001,0.207353
31,0.0151555,0.026547,0.128028141,0.23,0.251038
32,0.0755177,0.101164,0.175376364,0.297,0.228666
33,0.0153694,0.0241,0.127571656,0.199,0.289697
34,0.0139521,0.022423,0.126683311,0.199,0.369606
35,0.0698604,0.087905,0.144989886,0.243,0.317947
36,0.0549386,0.07365,0.192694355,0.264,0.63558
37,0.0153909,0.023627,0.120864987,0.203,0.173612
38,0.044079,0.060337,0.109628286,0.209,0.237075
39,0.0186633,0.031283,0.138556271,0.275,0.304072
40,0.0151226,0.02607,0.132005288,0.242,1.300243
41,0.0612538,0.080733,0.151147237,0.241,0.194459
42,0.0189619,0.032415,0.146961408,0.247,1.55868
43,0.0613734,0.080871,0.122093917,0.264,0.22212
44,0.180485,0.222169,0.126565566,0.227,0.340794
45,0.047474,0.060843,0.107442266,0.176,0.172507
46,0.0132596,0.025881,0.127038225,0.263,0.155982
47,0.191673,0.23255,0.136392411,0.246,1.068658
48,0.0654178,0.08138,0.133812906,0.197,0.392684
49,0.018007,0.030044,0.146806951,0.274,0.248036
50,0.0173913,0.031311,0.1468095,0.266,0.135441
51,0.811479,0.995333,0.139391696,0.245,0.409922
52,0.0169766,0.027795,0.132709232,0.27,0.361366
53,0.0883958,0.109967,0.158491884,0.28200000000000003,0.190655
54,0.0686926,0.082275,0.137996622,0.216,0.310594
55,0.0760469,0.094234,0.113979705,0.216,0.653083
56,0.0529378,0.064625,0.119939777,0.198,0.498904
57,0.0523072,0.067295,0.138410684,0.23500000000000001,0.102614
58,0.0467771,0.061072,0.129551944,0.24,0.1345
59,0.346431,0.420535,0.175800903,0.296,0.471978
60,0.0149438,0.025713,0.124694852,0.221,0.596677
61,0.0209909,0.035669,0.16078553,0.271,0.291926
62,0.0559095,0.073224,0.129719552,0.23600000000000002,0.314739
63,0.0901078,0.115041,0.104238933,0.197,0.283096
64,0.0137239,0.025149,0.147576006,0.254,0.15101
65,0.0735431,0.092337,0.164825088,0.24,0.470634
66,0.0156542,0.029445,0.145957674,0.28700000000000003,0.105451
67,0.0714912,0.092225,0.151882352,0.23700000000000002,0.227695
68,0.0670343,0.08592,0.136889574,0.266,0.636126
69,0.125844,0.158312,0.117087195,0.23800000000000002,0.598548
70,0.0170547,0.028507,0.154433003,0.273,0.242816
71,0.0141904,0.022451,0.126779807,0.221,0.381553
72,0.126071,0.159973,0.111851619,0.20700000000000002,0.193976
73,0.0733213,0.088875,0.13303622,0.226,0.881658
74,0.0208101,0.030042,0.128535391,0.23600000000000002,0.897574
75,0.0122953,0.024352,0.133565934,0.41400000000000003,0.273095
76,0.0491585,0.063469,0.133429017,0.225,0.391975
77,0.0127265,0.023374,0.118406356,0.214,0.282033
78,0.0875687,0.103228,0.152694195,0.221,0.138486
79,0.16175,0.195647,0.115813014,0.22,0.444755
80,0.0701909,0.086822,0.139606837,0.229,0.456129
81,0.0584646,0.074833,0.140670796,0.249,0.784214
82,0.0171491,0.02594,0.141980479,0.227,0.255718
83,0.0177689,0.029797,0.137817825,0.251,0.56322
84,0.0161907,0.026216,0.11286166,0.219,0.338658
85,0.0746232,0.092838,0.114734802,0.233,1.176498
86,0.0216474,0.030521,0.126195579,0.211,0.169431
87,0.0156917,0.024638,0.132521974,0.203,0.138135
88,0.0648668,0.08107,0.139042729,0.215,0.183214
89,0.055144,0.073376,0.15495749,0.269,0.477159
