problem_number,FLINT,FORM,Mathematica,reFORM,Rings,Singular,Symbolica
11,0.000247851,0.004,0.018337,0.015959,0.002882234,0.015,0.000809
12,0.000311686,0.006,0.022543,0.013259,0.002747399,0.016,0.001004
13,0.000308991,0.005,0.0191,0.008562,0.002686102,0.012,0.001009
14,0.000368961,0.011,0.028515,0.021644,0.003803676,0.023,0.0012
15,0.000300817,0.005,0.020714,0.018086,0.003413096,0.078,0.000968
16,0.000306671,0.658,0.022361,0.011211,0.003418023,0.016,0.0013
17,0.000262952,0.005,0.014783,0.012665,0.002455981,0.009000000000000001,0.001564
18,0.000281595,0.004,0.019096,0.012054,0.002636781,0.017,0.000869
19,0.000316245,0.006,0.021173,0.009767,0.002827183,0.016,0.00102
20,0.000298061,0.006,0.020362,0.009328,0.002570514,0.018000000000000002,0.000956
21,0.000331104,4.28,0.0232,0.014795,0.003258175,0.016,0.007599
22,0.000293835,0.005,0.019294,0.010513,0.002364914,0.016,0.00094
23,0.000316788,2.316,0.021914,0.011273,0.002574652,0.021,0.005634
24,0.00029262,0.005,0.01963,0.012478,0.002268122,0.015,0.000937
25,0.000306809,0.004,0.020882,0.014101,0.003009776,0.036000000000000004,0.00099
26,0.000287188,0.005,0.018168,0.010618,0.002280087,0.013000000000000001,0.000927
27,0.00027155,0.136,0.018323,0.010901,0.002572746,0.014,0.005192
28,0.00029932,0.005,0.019732,0.023433,0.002684061,0.021,0.000992
29,0.000295961,0.007,0.020894,0.011729,0.002594225,0.015,0.000953
30,0.000316604,0.009,0.020534,0.015373,0.002531971,0.024,0.001711
31,0.000291314,0.008,0.0196,0.016219,0.00251903,0.02,0.00094
32,0.00036382,0.008,0.024737,0.012545,0.003228484,0.016,0.001155
33,0.000273505,0.006,0.020324,0.009462,0.002402109,0.014,0.000855
34,0.000312168,0.005,0.021823,0.011626,0.002790547,0.018000000000000002,0.001021
35,0.000315604,0.007,0.021173,0.011976,0.002325747,0.015,0.000981
36,0.000303091,0.008,0.020999,0.016603,0.002301074,0.018000000000000002,0.000993
37,0.000276933,0.004,0.020174,0.008216,0.002339326,0.024,0.000916
38,0.000284926,0.008,0.018287,0.012628,0.00263557,0.013000000000000001,0.002251
39,0.000295202,0.007,0.021577,0.016902,0.002233272,0.034,0.000953
40,0.000268954,0.004,0.020692,0.009525,0.002128459,0.015,0.000853
41,0.000282311,0.008,0.019299,0.016278,0.002036608,0.014,0.002085
42,0.000303508,0.025,0.020238,0.015546,0.002587412,0.014,0.000989
43,0.000285985,0.005,0.019048,0.007652,0.002129174,0.013000000000000001,0.000919
44,0.000320286,0.006,0.022225,0.00615,0.002240883,0.022,0.000988
45,0.000310432,0.007,0.022606,0.011667,0.00226206,0.018000000000000002,0.000978
46,0.000280847,0.005,0.020693,0.012896,0.002413868,0.015,0.000873
47,0.000307515,0.006,0.021337,0.021608,0.002382869,0.015,0.000949
48,0.0002835,0.006,0.018188,0.010616,0.002322123,0.014,0.000884
49,0.000292629,0.007,0.021071,0.016327,0.001530436,0.017,0.000932
50,0.000290991,1.797,0.021849,0.011199,0.001757581,0.022,0.004024
51,0.000276836,2.139,0.017885,0.007191,0.001502222,0.038,0.006254
52,0.00032592,0.007,0.023084,0.013337,0.002303404,0.015,0.001044
53,0.000235775,0.005,0.014652,0.009893,0.001365959,0.012,0.000726
54,0.000256024,3.789,0.018445,0.005032,0.001454179,0.014,0.005544
55,0.00029927,0.006,0.020133,0.019223,0.001829344,0.014,0.000866
56,0.000349404,0.008,0.024929,0.016709,0.002287212,0.029,0.001141
57,0.000311002,0.006,0.02035,0.012334,0.001799535,0.015,0.00097
58,0.000271271,0.004,0.018531,0.018228,0.001581975,0.014,0.00081
59,0.000288264,2.789,0.019598,0.007676,0.002060035,0.018000000000000002,0.00497
60,0.000275584,16.05,0.018948,0.010126,0.001721658,0.01,0.004181
61,0.000236527,0.005,0.017255,0.011081,0.001434595,0.013000000000000001,0.000742
62,0.000306799,0.006,0.020424,0.009668,0.001815084,0.012,0.000983
63,0.000282956,0.007,0.018677,0.013769,0.001835788,0.013000000000000001,0.000893
64,0.000325548,0.005,0.021401,0.0255,0.002461218,0.015,0.001039
65,0.000345924,0.005,0.023898,0.013901,0.002470609,0.07200000000000001,0.00107
66,0.000303547,0.008,0.021412,0.00632,0.001727982,0.019,0.000924
67,0.000301699,0.006,0.021562,0.024192,0.001767576,0.025,0.000922
68,0.000290588,0.005,0.022311,0.009565,0.001831363,0.016,0.000907
69,0.000277832,0.005,0.019395,0.006879,0.001971782,0.015,0.000848
70,0.000296107,0.006,0.019579,0.009284,0.00165571,0.014,0.000939
71,0.00030813,0.004,0.020415,0.010323,0.002048341,0.015,0.000966
72,0.000235575,0.004,0.018474,0.015463,0.001412773,0.016,0.000751
73,0.000275668,0.005,0.02046,0.018114,0.001803052,0.015,0.000843
74,0.000274485,0.002,0.019864,0.00642,0.00183127,0.014,0.004496
75,0.000345087,0.006,0.023865,0.015753,0.001897945,0.02,0.001138
76,0.000314014,0.006,0.021683,0.008766,0.001919182,0.024,0.000942
77,0.000295677,0.006,0.020099,0.01264,0.001919477,0.016,0.00091
78,0.000247212,0.004,0.01723,0.016661,0.001564109,0.014,0.000755
79,0.000246781,0.005,0.017114,0.004834,0.001594899,0.013000000000000001,0.000776
80,0.000282509,3.52,0.020842,0.008995,0.001621887,0.031,0.005451
81,0.000315595,0.005,0.020347,0.011082,0.002049007,0.031,0.001066
82,0.000289514,0.005,0.020289,0.015712,0.002174543,0.113,0.000947
83,0.000244776,1.152,0.018214,0.005568,0.00144346,0.013000000000000001,0.004356
84,0.000278003,2.0,0.01847,0.013286,0.00168045,0.012,0.005247
85,0.000324184,0.006,0.024396,0.017157,0.002118699,0.018000000000000002,0.00106
86,0.000266549,0.006,0.01824,0.043624,0.001787356,0.014,0.001059
87,0.000323518,0.003,0.023257,0.015186,0.002037114,0.026000000000000002,0.004905
88,0.000329466,0.005,0.022945,0.01231,0.002218569,0.016,0.001063
89,0.000313773,0.007,0.021712,0.007282,0.001944843,0.02,0.000958
90,0.000283447,0.006,0.020308,0.013094,0.001766038,0.015,0.00089
91,0.000300552,0.005,0.021906,0.01172,0.002473202,0.017,0.00093
92,0.000270828,0.006,0.019911,0.011802,0.00168878,0.014,0.000821
93,0.0003185,2.896,0.022452,0.009989,0.001901037,0.016,0.006606
94,0.000309541,0.978,0.02194,0.01345,0.001864904,0.017,0.004189
95,0.00030685,1.008,0.01834,0.009829,0.001499588,0.015,0.007739
96,0.000290751,0.006,0.01846,0.009492,0.00175437,0.013000000000000001,0.00086
97,0.000264106,0.677,0.017406,0.012957,0.001549852,0.012,0.002554
98,0.000267327,0.005,0.017136,0.005702,0.001622913,0.035,0.000863
99,0.000325563,0.007,0.020883,0.008409,0.002118815,0.015,0.001015
100,0.000352329,0.006,0.023445,0.016377,0.002216627,0.025,0.00111
101,0.000250605,0.005,0.017245,0.00931,0.001613017,0.014,0.001284
102,0.000259172,8.949,0.018789,0.021866,0.001567755,0.013000000000000001,0.004837
103,0.000316997,0.011,0.023082,0.008363,0.001795349,0.075,0.002592
104,0.000265044,0.005,0.018036,0.012387,0.001564436,0.026000000000000002,0.000823
105,0.000314075,0.006,0.022146,0.011784,0.002117016,0.029,0.00099
106,0.000292026,0.006,0.022846,0.021278,0.001713009,0.016,0.000908
107,0.0002375,0.061,0.017334,0.010734,0.001368057,0.015,0.001125
108,0.0002552,0.007,0.016511,0.007577,0.001551767,0.016,0.001891
