problem_number,FLINT,FORM,Mathematica,Singular,Symbolica
11,0.00386476,0.005,0.017547,0.043000000000000003,0.008558
12,0.00228799,0.004,0.013699,0.066,0.007709
13,0.00466055,0.005,0.014585,0.134,0.01507
14,0.00211749,0.003,0.012709,0.058,0.011128
15,0.00426436,0.005,0.014187,0.068,0.012755
16,0.0036142,0.004,0.016243,0.139,0.019437
17,0.0036756,0.004,0.016914,0.113,0.017291
18,0.00330917,0.005,0.019337,0.084,0.016757
19,0.00184654,0.003,0.020418,0.127,0.014913
20,0.00306555,0.004,0.017425,0.076,0.019066
21,0.0023923,0.003,0.013604,0.062,0.011823
22,0.00263124,0.003,0.015289,0.063,0.013652
23,0.00340925,0.004,0.01498,0.316,0.012345
24,0.00199875,0.003,0.011681,0.06,0.016581
25,0.00507254,0.006,0.021762,0.048,0.005408
26,0.00349905,0.004,0.01607,0.11900000000000001,0.017729
27,0.00344005,0.005,0.020968,0.092,0.021845
28,0.00191614,0.003,0.018924,0.069,0.010534
29,0.00314999,0.005,0.021633,0.063,0.012741
30,0.00375917,0.005,0.015655,0.065,0.014506
31,0.00129297,0.003,0.015674,0.06,0.020095
32,0.00382619,0.005,0.014935,0.121,0.015831
33,0.00332203,0.004,0.018794,0.058,0.014716
34,0.00256827,0.004,0.019185,0.05,0.01757
35,0.00305266,0.004,0.015437,0.082,0.011103
36,0.00115686,0.002,0.011842,0.069,0.0463
37,0.00323731,0.004,0.018722,0.107,0.018133
38,0.00356542,0.004,0.019466,0.059000000000000004,0.019489
39,0.00192108,0.002,0.013918,0.046,0.01255
40,0.00477345,0.005,0.017288,0.054,0.02202
41,0.00295684,0.005,0.020801,0.101,0.01858
42,0.0036353,0.004,0.017339,0.108,0.011432
43,0.00333493,0.005,0.023823,0.084,0.017496
44,0.00329899,0.004,0.012967,0.047,0.008819
45,0.00817819,0.01,0.021849,0.078,0.022157
46,0.00102927,0.003,0.021198,0.079,0.008193
47,0.00453792,0.006,0.014824,0.051000000000000004,0.009514
48,0.00281898,0.004,0.015458,0.068,0.018314
49,0.00147907,0.002,0.013206,0.052000000000000005,0.013533
50,0.00210717,0.003,0.013067,0.056,0.01686
51,0.00865362,0.01,0.021334,0.075,0.021489
52,0.00394491,0.005,0.017246,0.064,0.010981
53,0.00390902,0.005,0.016651,0.039,0.017352
54,0.00269358,0.003,0.015976,0.067,0.015308
55,0.00193956,0.003,0.016405,0.07100000000000001,0.017866
56,0.00094968,0.002,0.013587,0.059000000000000004,0.008868
57,0.00422893,0.004,0.015174,0.049,0.019137
58,0.00300614,0.005,0.019935,0.122,0.02123
59,0.00305395,0.004,0.018554,0.065,0.015909
60,0.00397689,0.005,0.018371,0.078,0.016925
61,0.00301914,0.004,0.015908,0.045,0.013087
62,0.00333072,0.005,0.017215,0.057,0.017413
63,0.0030026,0.005,0.01863,0.059000000000000004,0.014422
64,0.00428875,0.005,0.018473,0.057,0.016946
65,0.00612308,0.007,0.019303,0.051000000000000004,0.017719
66,0.00359767,0.005,0.015843,0.11900000000000001,0.013234
67,0.00221917,0.004,0.014922,0.20800000000000002,0.012646
68,0.00203809,0.002,0.01285,0.043000000000000003,0.018633
69,0.00188853,0.003,0.017378,0.08700000000000001,0.013014
70,0.0024299,0.004,0.017671,0.11900000000000001,0.014396
71,0.0019537,0.004,0.013224,0.057,0.012112
72,0.0045225,0.005,0.016934,0.065,0.01059
73,0.00270679,0.003,0.013877,0.062,0.020679
74,0.00278331,0.004,0.019172,0.19,0.019545
75,0.0030196,0.004,0.020852,0.098,0.019283
76,0.00843213,0.01,0.02407,0.07200000000000001,0.014864
77,0.00132335,0.002,0.013393,0.069,0.016929
78,0.00912842,0.01,0.019751,0.061,0.023656
79,0.00330802,0.004,0.015603,0.059000000000000004,0.014671
80,0.00706687,0.008,0.018254,0.08700000000000001,0.014726
81,0.00608054,0.007,0.014494,0.036000000000000004,0.01433
82,0.00215713,0.003,0.013641,0.089,0.005308
83,0.00784389,0.009,0.019655,0.063,0.011432
84,0.00201289,0.002,0.01669,0.105,0.014509
85,0.00854392,0.01,0.021977,0.078,0.020179
86,0.00500341,0.006,0.022666,0.058,0.015023
87,0.0038891,0.005,0.019473,0.127,0.013906
88,0.00330443,0.004,0.019474,0.065,0.016898
89,0.00180188,0.005,0.015021,0.081,0.018045
90,0.00336976,0.004,0.017232,0.067,0.015339
91,0.0025004,0.004,0.016385,0.059000000000000004,0.013025
92,0.00333171,0.004,0.015613,0.069,0.013904
